Title,Rating,Year,Duration,Votes,Director,MetaScore,Description,Rating Category,Predicted Rating Category
1. Гражданин Кейн,8.3,,N/A,474000,Unknown,100.0,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Excellent,Excellent
2. Крестный отец,9.2,,N/A,1000000,Unknown,100.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Excellent,Excellent
3. 12 разгневанных мужчин,9.0,,N/A,895000,Unknown,97.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Excellent,Excellent
4. Касабланка,8.5,,N/A,619000,Unknown,100.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Excellent,Excellent
5. Страсти Жанны д'Арк,8.1,,N/A,63000,Unknown,98.0,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Excellent,Excellent
6. Огни большого города,8.5,,N/A,201000,Unknown,99.0,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Excellent,Excellent
7. Головокружение,8.3,,N/A,437000,Unknown,100.0,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Excellent,Excellent
8. Семь самураев,8.6,,N/A,376000,Unknown,98.0,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Excellent,Excellent
9. Восход солнца,8.1,,N/A,55000,Unknown,95.0,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment.",Excellent,Excellent
10. Крестный отец 2,9.0,,N/A,4000000,Unknown,90.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Excellent,Excellent
11. Эта замечательная жизнь,8.6,,N/A,510000,Unknown,89.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Excellent,Excellent
12. Окно во двор,8.5,,N/A,535000,Unknown,100.0,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Excellent,Excellent
13. Психо,8.5,,N/A,737000,Unknown,97.0,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Excellent,Excellent
14. Метрополис,8.3,,N/A,190000,Unknown,98.0,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Excellent,Excellent
15. Сансет бульвар,8.4,,N/A,243000,Unknown,94.0,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Excellent,Excellent
16. Человек с киноаппаратом,8.3,,N/A,29000,Unknown,96.0,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",Excellent,Excellent
17. Токийская повесть,8.1,,N/A,71000,Unknown,100.0,"An old couple visit their children and grandchildren in the city, but receive little attention.",Excellent,Excellent
18. Поющие под дождем,8.3,,N/A,267000,Unknown,99.0,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Excellent,Excellent
19. Квартира,8.3,,N/A,202000,Unknown,94.0,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Excellent,Excellent
20. Лоуренс Аравийский,8.3,,N/A,322000,Unknown,100.0,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Excellent,Excellent
"21. Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",8.3,,N/A,529000,Unknown,97.0,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Excellent,Excellent
"22. Хороший, плохой, злой",8.8,,N/A,832000,Unknown,90.0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Excellent,Excellent
23. М убийца,8.3,,N/A,173000,Unknown,0.0,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Excellent,Excellent
24. Пролетая над гнездом кукушки,8.7,,N/A,1000000,Unknown,84.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Excellent,Excellent
25. Третий человек,8.1,,N/A,186000,Unknown,97.0,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Excellent,Excellent
26. Новые времена,8.5,,N/A,266000,Unknown,96.0,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Excellent,Excellent
27. Всё о Еве,8.2,,N/A,142000,Unknown,98.0,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Excellent,Excellent
28. Рай и ад,8.4,,N/A,56000,Unknown,90.0,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Excellent,Excellent
29. Броненосец «Потемкин»,7.9,,N/A,62000,Unknown,97.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",Good,Good
30. Двойная страховка,8.3,,N/A,171000,Unknown,95.0,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Excellent,Excellent
31. Апокалипсис сегодня,8.4,,N/A,726000,Unknown,94.0,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Excellent,Excellent
32. Расёмон,8.2,,N/A,185000,Unknown,98.0,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Excellent,Excellent
33. Волшебник страны Оз,8.1,,N/A,438000,Unknown,92.0,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",Excellent,Excellent
34. Правила игры,7.9,,N/A,32000,Unknown,99.0,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",Good,Excellent
35. Похитители велосипедов,8.3,,N/A,180000,Unknown,0.0,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Excellent,Excellent
36. Таксист,8.2,,N/A,952000,Unknown,94.0,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Excellent,Excellent
37. Лучшие годы нашей жизни,8.1,,N/A,72000,Unknown,93.0,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",Excellent,Excellent
38. 2001 год: Космическая одиссея,8.3,,N/A,737000,Unknown,84.0,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",Excellent,Excellent
39. Звёздные войны,8.6,,N/A,5000000,Unknown,90.0,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Excellent,Excellent
40. Унесенные ветром,8.2,,N/A,340000,Unknown,97.0,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Excellent,Excellent
41. В джазе только девушки,8.2,,N/A,289000,Unknown,98.0,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Excellent,Excellent
42. Восемь с половиной,8.0,,N/A,127000,Unknown,93.0,A harried movie director retreats into his memories and fantasies.,Excellent,Excellent
43. Это случилось однажды ночью,8.1,,N/A,115000,Unknown,87.0,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,Excellent,Excellent
44. Жить,8.3,,N/A,92000,Unknown,92.0,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Excellent,Excellent
45. На западном фронте без перемен,8.1,,N/A,69000,Unknown,91.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Excellent,Excellent
46. Битва за Алжир,8.1,,N/A,68000,Unknown,96.0,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Excellent,Excellent
47. Великий диктатор,8.4,,N/A,243000,Unknown,0.0,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Excellent,Excellent
48. Шерлок младший,8.2,,N/A,59000,Unknown,0.0,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Excellent,Excellent
49. В порту,8.1,,N/A,169000,Unknown,91.0,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Excellent,Excellent
50. Короткая встреча,8.0,,N/A,45000,Unknown,92.0,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",Excellent,Excellent
51. Дети райка,8.3,,N/A,22000,Unknown,96.0,The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.,Excellent,Excellent
52. Гроздья гнева,8.1,,N/A,102000,Unknown,96.0,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Excellent,Excellent
53. На север через северо-запад,8.3,,N/A,353000,Unknown,98.0,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Excellent,Excellent
54. Список Шиндлера,9.0,,N/A,5000000,Unknown,95.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Excellent,Excellent
55. Паровоз Генерал,8.1,,N/A,100000,Unknown,0.0,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",Excellent,Excellent
56. Тропы славы,8.4,,N/A,220000,Unknown,90.0,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,Excellent,Excellent
57. Мост через реку Квай,8.1,,N/A,238000,Unknown,88.0,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",Excellent,Excellent
58. Управляющий Сансё,8.4,,N/A,19000,Unknown,96.0,"In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression.",Excellent,Excellent
59. Сокровища Сьерра Мадре,8.2,,N/A,135000,Unknown,98.0,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,Excellent,Excellent
60. Барри Линдон,8.1,,N/A,188000,Unknown,89.0,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Excellent,Excellent
61. Сладкая жизнь,8.0,,N/A,80000,Unknown,95.0,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,Excellent,Excellent
62. Харакири,8.6,,N/A,74000,Unknown,85.0,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Excellent,Excellent
63. Персона,8.0,,N/A,134000,Unknown,86.0,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Excellent,Excellent
64. Поздняя весна,8.2,,N/A,20000,Unknown,93.0,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father.",Excellent,Excellent
65. Красные башмачки,8.1,,N/A,41000,Unknown,0.0,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Excellent,Excellent
66. Энни Холл,8.0,,N/A,281000,Unknown,92.0,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.",Excellent,Excellent
67. Славные парни,8.7,,N/A,3000000,Unknown,92.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Excellent,Excellent
68. Звёздные войны: Эпизод 5 - Империя наносит ответный удар,8.7,,N/A,4000000,Unknown,82.0,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Excellent,Excellent
69. Китайский квартал,8.1,,N/A,358000,Unknown,92.0,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Excellent,Excellent
70. Чeтыреста ударов,8.0,,N/A,130000,Unknown,0.0,"A young boy, left without attention, delves into a life of petty crime.",Excellent,Excellent
71. Фанни и Александр,8.1,,N/A,68000,Unknown,100.0,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Excellent,Excellent
72. Великая иллюзия,8.1,,N/A,40000,Unknown,0.0,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Excellent,Excellent
73. Удел человеческий 3,8.8,,N/A,6000,Unknown,0.0,"His ideals challenged by life as a conscript in war-time Japan's military, a pacifist faces ever greater tests in his fight for survival.",Excellent,Excellent
74. Седьмая печать,8.1,,N/A,203000,Unknown,88.0,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Excellent,Excellent
75. Ночь охотника,8.0,,N/A,101000,Unknown,97.0,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery.",Excellent,Excellent
76. Дурная слава,7.9,,N/A,109000,Unknown,100.0,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?,Good,Excellent
77. Печать зла,8.0,,N/A,111000,Unknown,99.0,"A Mexican official and his American wife are targeted in a Texas border town by the crime family he's trying to put behind bars for drug trafficking, as his concern grows over the tactics of the local detective whose cooperation he needs.",Excellent,Excellent
78. Телохранитель,8.2,,N/A,134000,Unknown,93.0,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Excellent,Excellent
79. Армия теней,8.1,,N/A,27000,Unknown,99.0,An account of underground resistance fighters in Nazi-occupied France.,Excellent,Excellent
80. Шоа,8.7,,N/A,11000,Unknown,99.0,Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.,Excellent,Excellent
81. Мальтийский сокол,7.9,,N/A,169000,Unknown,97.0,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",Good,Good
82. Женщина в песках,8.5,,N/A,24000,Unknown,0.0,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.,Excellent,Excellent
83. Андрей Рублёв,8.0,,N/A,58000,Unknown,0.0,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Excellent,Excellent
84. Золотая лихорадка,8.1,,N/A,121000,Unknown,0.0,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Excellent,Excellent
85. Бешеный бык,8.1,,N/A,388000,Unknown,90.0,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Excellent,Excellent
86. Леопард,7.9,,N/A,30000,Unknown,100.0,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.",Good,Excellent
87. Бильярдист,7.9,,N/A,88000,Unknown,90.0,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Good,Excellent
88. Чужой,8.5,,N/A,992000,Unknown,89.0,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Excellent,Excellent
89. Охотник на оленей,8.1,,N/A,369000,Unknown,90.0,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Excellent,Excellent
90. Земляничная поляна,8.1,,N/A,118000,Unknown,88.0,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Excellent,Excellent
91. Плата за страх,8.1,,N/A,68000,Unknown,85.0,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Excellent,Excellent
92. Как зелена была моя долина,7.7,,N/A,27000,Unknown,88.0,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",Good,Excellent
93. Виридиана,8.1,,N/A,27000,Unknown,0.0,"Viridiana, a young nun about to take her final vows, pays a visit to her widowed uncle at the request of her Mother Superior.",Excellent,Excellent
94. Время развлечений,7.8,,N/A,27000,Unknown,99.0,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.",Good,Good
95. Собачий полдень,8.0,,N/A,278000,Unknown,86.0,"Three amateur robbers plan to hold up a Brooklyn bank. A nice, simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Excellent,Excellent
96. Иди и смотри,8.3,,N/A,104000,Unknown,0.0,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Excellent,Excellent
97. Летят журавли,8.3,,N/A,20000,Unknown,76.0,"Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.",Excellent,Excellent
98. Дзета,8.1,,N/A,32000,Unknown,86.0,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Excellent,Excellent
99. Побег из Шоушенка,9.3,,N/A,3000000,Unknown,82.0,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Excellent,Excellent
100. Наполеон,8.2,,N/A,1000,Unknown,0.0,A film about the French general's youth and early military career.,Excellent,Excellent
101. Ночи Кабирии,8.1,,N/A,53000,Unknown,0.0,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Excellent,Excellent
102. Вудсток,8.1,,N/A,19000,Unknown,95.0,Oscar-winning musical chronicle that brilliantly captures the three-day rock concert and celebration of peace and love that became a capstone for the Sixties.,Excellent,Excellent
103. Телесеть,8.1,,N/A,174000,Unknown,83.0,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",Excellent,Excellent
"104. Приговоренный к смерти бежал, или Дух веет, где хочет",8.2,,N/A,26000,Unknown,0.0,A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,Excellent,Excellent
105. Вестсайдская история,7.6,,N/A,123000,Unknown,86.0,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",Good,Excellent
106. Быть или не быть,8.1,,N/A,45000,Unknown,86.0,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Excellent,Excellent
107. Ран,8.2,,N/A,140000,Unknown,97.0,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Excellent,Excellent
108. Молчание ягнят,8.6,,N/A,6000000,Unknown,86.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Excellent,Excellent
109. Дикая банда,7.9,,N/A,92000,Unknown,98.0,"An aging group of outlaws in 1913 Texas look for one last big score, selling stolen Army rifles to a rogue Mexican general during that country's revolution, as the traditional American West is disappearing around them.",Good,Excellent
110. Амадей,8.4,,N/A,439000,Unknown,87.0,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Excellent,Excellent
111. Нэшвилл,7.6,,N/A,29000,Unknown,96.0,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention.",Good,Good
112. Жизнь и смерть полковника Блимпа,8.0,,N/A,17000,Unknown,93.0,"From the Boer War through World War II, a soldier rises through the ranks in the British military.",Excellent,Excellent
113. Лестница в небо,8.0,,N/A,26000,Unknown,0.0,"A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl.",Excellent,Excellent
114. Слово,8.2,,N/A,18000,Unknown,0.0,"Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town.",Excellent,Excellent
115. Афера,8.3,,N/A,285000,Unknown,83.0,Two grifters team up to pull off the ultimate con.,Excellent,Excellent
116. Заводной апельсин,8.2,,N/A,897000,Unknown,77.0,Alex DeLarge and his droogs barbarize a decaying near-future.,Excellent,Excellent
117. Филадельфийская история,7.8,,N/A,75000,Unknown,96.0,"After a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",Good,Excellent
118. Индиана Джонс: В поисках утраченного ковчега,8.4,,N/A,1000000,Unknown,86.0,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",Excellent,Excellent
"119. Человек, который застрелил Либерти Вэланса",8.1,,N/A,84000,Unknown,94.0,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.,Excellent,Excellent
120. Сладкий запах успеха,8.0,,N/A,37000,Unknown,100.0,A powerful Broadway columnist coerces an unscrupulous press agent into breaking up his sister's romance with a jazz musician.,Excellent,Excellent
121. Челюсти,8.1,,N/A,680000,Unknown,87.0,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Excellent,Excellent
