Title,Rating,Year,Duration,Votes,Director,MetaScore,Predicted Rating
257. Шуша,8.0,1946.0,1h,3000,Vittorio De Sica,0.0,8.0
258. Изгоняющий дьявола,8.1,1973.0,2h,464000,William Friedkin,83.0,8.1
259. Большой побег,8.2,1963.0,2h,262000,John Sturges,86.0,8.2
260. Спасти рядового Райана,8.6,1998.0,2h,5000000,Steven Spielberg,91.0,8.6
261. Ровно в полдень,7.9,1952.0,1h,112000,Fred Zinnemann,89.0,7.9
262. Магазин на площади,8.2,1965.0,2h,9000,Ján Kadár,0.0,8.2
"263. Хиросима, моя любовь",7.8,1959.0,1h,37000,Alain Resnais,0.0,7.8
264. Человек на все времена,7.7,1966.0,2h,38000,Fred Zinnemann,72.0,7.7
265. В случае убийства набирайте «М»,8.2,1954.0,1h,192000,Alfred Hitchcock,75.0,8.2
266. Пустоши,7.7,1973.0,1h,80000,Terrence Malick,93.0,7.7
267. Обыкновенные люди,7.7,1980.0,2h,58000,Robert Redford,86.0,7.7
268. Случай в Окс-Боу,8.0,1942.0,1h,25000,William A. Wellman,0.0,8.0
269. Полуночные колокола,7.6,1965.0,1h,10000,Orson Welles,94.0,7.599999999999999
270. Тайны и ложь,8.0,1996.0,2h,48000,Mike Leigh,92.0,8.0
271. Только у ангелов есть крылья,7.6,1939.0,2h,16000,Howard Hawks,86.0,7.599999999999999
272. Невинные,7.7,1961.0,1h,34000,Jack Clayton,88.0,7.7
273. Наследница,8.1,1949.0,1h,18000,William Wyler,0.0,8.1
274. Баскетбольные мечты,8.3,1994.0,2h,28000,Steve James,98.0,8.3
275. Пятая печать,8.5,1976.0,1h,2000,Zoltán Fábri,0.0,8.5
276. Фотоувеличение,7.4,1966.0,1h,69000,Michelangelo Antonioni,82.0,7.3999999999999995
277. Убийство,7.9,1956.0,1h,100000,Stanley Kubrick,91.0,7.9
278. МакКейб и миссис Миллер,7.6,1971.0,2h,28000,Robert Altman,93.0,7.599999999999999
279. Крамер против Крамера,7.8,1979.0,1h,157000,Robert Benton,77.0,7.8
"280. Родиться-то я родился, но...",7.9,1932.0,1h,3000,Yasujirô Ozu,91.0,7.9
"281. Агирре, гнев божий",7.8,1972.0,1h,63000,Werner Herzog,0.0,7.8
282. Странствия Салливана,7.9,1941.0,1h,29000,Preston Sturges,89.0,7.9
283. Форрест Гамп,8.8,1994.0,2h,3000000,Robert Zemeckis,82.0,8.800000000000002
284. Мадам де...,7.9,1953.0,1h,11000,Max Ophüls,0.0,7.9
285. Слуга,7.8,1963.0,1h,14000,Joseph Losey,94.0,7.8
286. Лора,7.9,1944.0,1h,52000,Otto Preminger,0.0,7.9
287. Раннее лето,8.1,1951.0,2h,9000,Yasujirô Ozu,94.0,8.1
288. Нетерпимость,7.7,1916.0,2h,17000,D.W. Griffith,99.0,7.7
289. Ганди,8.0,1982.0,3h,242000,Richard Attenborough,79.0,8.0
290. Кагемуся: Тень воина,7.9,1980.0,3h,39000,Akira Kurosawa,84.0,7.9
291. Тихий человек,7.7,1952.0,2h,43000,John Ford,85.0,7.7
292. В укромном месте,7.9,1950.0,1h,36000,Nicholas Ray,0.0,7.9
293. Нибелунги: Зигфрид,8.1,1924.0,2h,7000,Fritz Lang,0.0,8.1
294. Милдред Пирс,7.9,1945.0,1h,29000,Michael Curtiz,88.0,7.9
295. Встреть меня в Сент-Луисе,7.5,1944.0,1h,28000,Vincente Minnelli,94.0,7.499999999999999
296. Кес,7.9,1969.0,1h,23000,Ken Loach,0.0,7.9
"297. Округ Харлан, США",8.2,1976.0,1h,8000,Barbara Kopple,80.0,8.2
298. Иваново детство,8.0,1962.0,1h,41000,Andrei Tarkovsky,0.0,8.0
299. Страх съедает душу,8.0,1974.0,1h,24000,Rainer Werner Fassbinder,0.0,8.0
300. Белая горячка,8.1,1949.0,1h,36000,Raoul Walsh,89.0,8.1
301. Подними красный фонарь,8.1,1991.0,2h,36000,Yimou Zhang,0.0,8.1
302. Я - беглый каторжник,8.2,1932.0,1h,15000,Mervyn LeRoy,0.0,8.2
303. The Beatles: Вечер трудного дня,7.5,1964.0,1h,49000,Richard Lester,96.0,7.499999999999999
304. Красный круг,7.9,1970.0,2h,29000,Jean-Pierre Melville,92.0,7.9
305. Дух улья,7.8,1973.0,1h,21000,Víctor Erice,87.0,7.8
306. Шейн,7.6,1953.0,1h,45000,George Stevens,85.0,7.599999999999999
307. Новый кинотеатр «Парадизо»,8.5,1988.0,2h,288000,Giuseppe Tornatore,80.0,8.5
308. Мамочка и шлюха,7.7,1973.0,3h,9000,Jean Eustache,89.0,7.7
309. Сцены из супружеской жизни,8.3,1974.0,2h,9000,Ingmar Bergman,0.0,8.3
310. Девичий источник,8.0,1960.0,1h,32000,Ingmar Bergman,0.0,8.0
311. Нюрнбергский процесс,8.3,1961.0,2h,87000,Stanley Kramer,60.0,8.3
312. Пианист,8.5,2002.0,2h,932000,Roman Polanski,85.0,8.5
313. Гамлет,7.6,1948.0,2h,19000,Laurence Olivier,82.0,7.599999999999999
314. Дерево для башмаков,7.8,1978.0,3h,7000,Ermanno Olmi,0.0,7.8
315. Иметь и не иметь,7.8,1944.0,1h,39000,Howard Hawks,90.0,7.8
"316. Прощай, моя наложница",8.1,1993.0,2h,34000,Kaige Chen,84.0,8.1
317. Мой дядюшка,7.7,1958.0,1h,25000,Jacques Tati,84.0,7.7
318. Следствие по делу гражданина вне всяких подозрений,8.0,1970.0,1h,14000,Elio Petri,89.0,8.0
319. Бедные-несчастные,7.8,2023.0,2h,303000,Yorgos Lanthimos,88.0,7.8
320. Ветер,8.0,1928.0,1h,3000,Victor Sjöström,0.0,8.0
321. Орфей,7.9,1950.0,1h,14000,Jean Cocteau,0.0,7.9
322. Туз в рукаве,8.1,1951.0,1h,40000,Billy Wilder,72.0,8.1
323. Париж горит,8.2,1990.0,1h,18000,Jennie Livingston,82.0,8.2
324. Эдвард Мунк,8.1,1974.0,3h,4000,Peter Watkins,0.0,8.1
325. Барака,8.5,1992.0,1h,41000,Ron Fricke,0.0,8.5
326. Франкенштейн,7.8,1931.0,1h,81000,James Whale,91.0,7.8
327. Уродцы,7.8,1932.0,1h,51000,Tod Browning,80.0,7.8
328. Ящик Пандоры,7.7,1929.0,1h,12000,Georg Wilhelm Pabst,0.0,7.7
329. Ночь у Мод,7.8,1969.0,1h,15000,Éric Rohmer,0.0,7.8
330. Американец в Париже,7.1,1951.0,1h,37000,Vincente Minnelli,83.0,7.099999999999999
331. Необычный день,8.1,1977.0,1h,16000,Ettore Scola,0.0,8.1
332. Хладнокровно,7.9,1967.0,2h,30000,Richard Brooks,89.0,7.9
333. Наконец в безопасности!,8.1,1923.0,1h,23000,Fred C. Newmeyer,0.0,8.1
334. Дневник сельского священника,7.7,1951.0,1h,13000,Robert Bresson,0.0,7.7
335. Мужчина и женщина,7.5,1966.0,1h,12000,Claude Lelouch,0.0,7.499999999999999
336. Любовное настроение,8.1,2000.0,1h,170000,Kar-Wai Wong,87.0,8.1
337. Долгое прощание,7.5,1973.0,1h,39000,Robert Altman,87.0,7.499999999999999
338. Терминатор 2: Судный день,8.6,1991.0,2h,2000000,James Cameron,75.0,8.6
339. Повесть о поздней хризантеме,7.8,1939.0,2h,5000,Kenji Mizoguchi,0.0,7.8
340. Жить своей жизнью,7.8,1962.0,1h,36000,Jean-Luc Godard,0.0,7.8
341. Огни рампы,8.0,1952.0,2h,23000,Charles Chaplin,84.0,8.0
342. Эмигранты,8.0,1971.0,3h,6000,Jan Troell,0.0,8.0
343. Имитация жизни,7.8,1959.0,2h,19000,Douglas Sirk,87.0,7.8
344. Спартак,7.9,1960.0,3h,145000,Stanley Kubrick,87.0,7.9
345. Фарго,8.1,1996.0,1h,737000,Joel Coen,88.0,8.1
346. Жажда,8.3,1957.0,2h,5000,Guru Dutt,0.0,8.3
347. Десять заповедей,7.9,1956.0,3h,79000,Cecil B. DeMille,0.0,7.9
348. Вакантное место,7.9,1961.0,1h,9000,Ermanno Olmi,0.0,7.9
349. Дневная красавица,7.6,1967.0,1h,50000,Luis Buñuel,0.0,7.599999999999999
350. Письмо незнакомки,7.9,1948.0,1h,14000,Max Ophüls,0.0,7.9
351. Ниночка,7.8,1939.0,1h,23000,Ernst Lubitsch,0.0,7.8
352. Мистер Дидс переезжает в город,7.8,1936.0,1h,24000,Frank Capra,0.0,7.8
353. Возмутительный класс,9.2,1975.0,1h,44000,Ertem Egilmez,0.0,9.200000000000001
354. Бонни и Клайд,7.7,1967.0,1h,122000,Arthur Penn,86.0,7.7
355. Близкие контакты третьей степени,7.6,1977.0,2h,221000,Steven Spielberg,90.0,7.599999999999999
356. Красота по-американски,8.3,1999.0,2h,2000000,Sam Mendes,84.0,8.3
357. Фицкарральдо,8.0,1982.0,2h,39000,Werner Herzog,0.0,8.0
358. 39 ступеней,7.6,1935.0,1h,62000,Alfred Hitchcock,93.0,7.599999999999999
"359. Крадущийся тигр, затаившийся дракон",7.9,2000.0,2h,284000,Ang Lee,94.0,7.9
360. Доброе утро!,7.8,1959.0,1h,11000,Yasujirô Ozu,87.0,7.8
361. Нечто,8.2,1982.0,1h,478000,John Carpenter,57.0,8.2
362. Последний вальс,8.1,1978.0,1h,21000,Martin Scorsese,84.0,8.1
363. Три цвета: Синий,7.8,1993.0,1h,112000,Krzysztof Kieslowski,87.0,7.8
364. Шанхайский экспресс,7.3,1932.0,1h,11000,Josef von Sternberg,83.0,7.299999999999999
365. Чарулота,8.1,1964.0,1h,4000,Satyajit Ray,0.0,8.1
366. Макарио,8.3,1960.0,1h,5000,Roberto Gavaldón,0.0,8.3
367. Театральный фургон,7.4,1953.0,1h,13000,Vincente Minnelli,93.0,7.3999999999999995
368. Прошлые жизни,7.8,2023.0,1h,132000,Celine Song,94.0,7.8
369. Мэри Поппинс,7.8,1964.0,2h,189000,Robert Stevenson,88.0,7.8
370. Пианино,7.5,1993.0,2h,96000,Jane Campion,89.0,7.499999999999999
371. Токийские сумерки,8.1,1957.0,2h,1000,Yasujirô Ozu,87.0,8.1
372. Профессия: Репортер,7.5,1975.0,2h,27000,Michelangelo Antonioni,90.0,7.499999999999999
373. Большой город,8.3,1963.0,2h,1000,Satyajit Ray,0.0,8.3
374. Большие надежды,7.8,1946.0,1h,27000,David Lean,90.0,7.8
375. Манхэттен,7.8,1979.0,1h,149000,Woody Allen,83.0,7.8
376. Иван Грозный,7.7,1944.0,1h,11000,Sergei Eisenstein,0.0,7.7
377. Газовый свет,7.8,1944.0,1h,35000,George Cukor,78.0,7.8
378. История игрушек,8.3,1995.0,1h,1000000,John Lasseter,96.0,8.3
379. Мой слуга Годфри,7.9,1936.0,1h,27000,Gregory La Cava,82.0,7.9
380. Зона интересов,7.4,2023.0,1h,112000,Jonathan Glazer,92.0,7.3999999999999995
381. Нефть,8.2,2007.0,2h,651000,Paul Thomas Anderson,93.0,8.2
382. Приключения Робин Гуда,7.9,1938.0,1h,55000,Michael Curtiz,97.0,7.9
383. Карманник,7.6,1959.0,1h,26000,Robert Bresson,0.0,7.599999999999999
384. Лицо со шрамом,7.7,1932.0,1h,31000,Howard Hawks,90.0,7.7
385. Кошка на раскаленной крыше,7.9,1958.0,1h,54000,Richard Brooks,84.0,7.9
386. Ненависть,8.1,1995.0,1h,202000,Mathieu Kassovitz,0.0,8.1
387. Дверь на сцену,7.7,1937.0,1h,1000,Gregory La Cava,0.0,7.7
388. Трое негодяев в скрытой крепости,8.1,1958.0,2h,43000,Akira Kurosawa,89.0,8.1
389. Похоронная процессия роз,7.7,1969.0,1h,5000,Toshio Matsumoto,0.0,7.7
390. Голубой ангел,7.7,1930.0,1h,17000,Josef von Sternberg,90.0,7.7
391. Ханна и её сестры,7.8,1986.0,1h,78000,Woody Allen,90.0,7.8
392. Селина и Жюли совсем заврались,7.2,1974.0,3h,5000,Jacques Rivette,100.0,7.199999999999999
393. Ночь живых мертвецов,7.8,1968.0,1h,141000,George A. Romero,89.0,7.8
394. Подглядывающий,7.6,1960.0,1h,40000,Michael Powell,0.0,7.599999999999999
395. Секреты Лос-Анджелеса,8.2,1997.0,2h,626000,Curtis Hanson,91.0,8.2
396. Место под солнцем,7.7,1951.0,2h,25000,George Stevens,76.0,7.7
397. Уходя в отрыв,7.7,1979.0,1h,26000,Peter Yates,91.0,7.7
398. Чужие,8.4,1986.0,2h,785000,James Cameron,84.0,8.4
399. Гармонии Веркмейстера,8.0,2000.0,2h,16000,Béla Tarr,93.0,8.0
400. Общество мёртвых поэтов,8.1,1989.0,2h,562000,Peter Weir,79.0,8.1
401. Город Бога,8.6,2002.0,2h,814000,Fernando Meirelles,79.0,8.6
402. Старикам тут не место,8.2,2007.0,2h,1000000,Ethan Coen,92.0,8.2
403. Пиноккио,7.5,1940.0,1h,163000,Norman Ferguson,99.0,7.499999999999999
404. А теперь не смотри,7.1,1973.0,1h,64000,Nicolas Roeg,95.0,7.099999999999999
405. Баллада о солдате,8.2,1959.0,1h,12000,Grigoriy Chukhray,0.0,8.2
406. Однажды в Америке,8.3,1984.0,3h,384000,Sergio Leone,75.0,8.3
407. На несколько долларов больше,8.2,1965.0,2h,280000,Sergio Leone,74.0,8.2
408. Джонни-гитара,7.6,1954.0,1h,20000,Nicholas Ray,83.0,7.599999999999999
409. Музыкальная комната,7.9,1958.0,1h,9000,Satyajit Ray,0.0,7.9
410. Евангелие от Матфея,7.6,1964.0,2h,14000,Pier Paolo Pasolini,0.0,7.599999999999999
411. Будучи там,7.9,1979.0,2h,79000,Hal Ashby,83.0,7.9
412. Это - Spinal Tap,7.9,1984.0,1h,149000,Rob Reiner,92.0,7.9
413. Птицы,7.6,1963.0,1h,208000,Alfred Hitchcock,90.0,7.599999999999999
414. Сильная жара,7.9,1953.0,1h,30000,Fritz Lang,0.0,7.9
415. Доктор Живаго,7.9,1965.0,3h,83000,David Lean,69.0,7.9
416. Крамб,8.0,1994.0,1h,22000,Terry Zwigoff,93.0,8.0
417. Иностранный корреспондент,7.4,1940.0,2h,24000,Alfred Hitchcock,89.0,7.3999999999999995
418. Единственный сын,7.7,1936.0,1h,1000,Yasujirô Ozu,0.0,7.7
419. Одуванчик,7.9,1985.0,1h,23000,Jûzô Itami,87.0,7.9
420. Что случилось с Бэби Джейн?,8.0,1962.0,2h,63000,Robert Aldrich,75.0,8.0
421. Черный Орфей,7.4,1959.0,1h,12000,Marcel Camus,81.0,7.3999999999999995
422. Сжигатель трупов,8.0,1969.0,1h,11000,Juraj Herz,0.0,8.0
423. Комедианты,7.9,1975.0,3h,4000,Theodoros Angelopoulos,0.0,7.9
424. Распутная императрица,7.5,1934.0,1h,3000,Josef von Sternberg,0.0,7.499999999999999
425. Забойщик овец,7.2,1978.0,1h,7000,Charles Burnett,96.0,7.199999999999999
426. Маленькие лисички,7.9,1941.0,1h,13000,William Wyler,0.0,7.9
427. Развод Надера и Симин,8.3,2011.0,2h,262000,Asghar Farhadi,95.0,8.3
428. Король Лев,8.5,1994.0,1h,2000000,Roger Allers,88.0,8.5
429. Бунтарь без причины,7.6,1955.0,1h,99000,Nicholas Ray,89.0,7.599999999999999
430. Бешеные псы,8.3,1992.0,1h,1000000,Quentin Tarantino,81.0,8.3
431. Бумажная луна,8.1,1973.0,1h,53000,Peter Bogdanovich,77.0,8.1
432. Молодой мистер Линкольн,7.5,1939.0,1h,3000,John Ford,91.0,7.499999999999999
"433. До свидания, дети",8.0,1987.0,1h,37000,Louis Malle,88.0,8.0
434. Асфальтовые джунгли,7.8,1950.0,1h,31000,John Huston,85.0,7.8
435. Нибелунги: Месть Кримхильды,7.9,1924.0,2h,1000,Fritz Lang,0.0,7.9
436. Мой сосед Тоторо,8.1,1988.0,1h,391000,Hayao Miyazaki,87.0,8.1
437. Пишоте: Закон самого слабого,7.9,1980.0,2h,5000,Hector Babenco,0.0,7.9
438. Любовь,7.9,2012.0,2h,107000,Michael Haneke,95.0,7.9
439. Лагерь для военнопленных No17,8.0,1953.0,2h,59000,Billy Wilder,84.0,8.0
440. Пепе ле Моко,7.7,1937.0,1h,2000,Julien Duvivier,98.0,7.7
441. Запрещённые игры,8.0,1952.0,1h,13000,René Clément,0.0,8.0
442. Американские граффити,7.4,1973.0,1h,100000,George Lucas,97.0,7.3999999999999995
443. Во имя отца,8.1,1993.0,2h,190000,Jim Sheridan,84.0,8.1
444. Бразилия,7.8,1985.0,2h,213000,Terry Gilliam,84.0,7.8
445. Земляк,7.6,1946.0,2h,8000,Roberto Rossellini,0.0,7.599999999999999
446. О мышах и людях,7.8,1939.0,1h,7000,Lewis Milestone,89.0,7.8
447. Анатомия падения,7.7,2023.0,2h,151000,Justine Triet,86.0,7.7
448. Отступники,8.5,2006.0,2h,4000000,Martin Scorsese,85.0,8.5
449. Кояанискатси,8.2,1982.0,1h,42000,Godfrey Reggio,72.0,8.2
450. Серые сады,7.5,1975.0,1h,16000,Ellen Hovde,83.0,7.499999999999999
451. Пепел и алмаз,7.7,1958.0,1h,14000,Andrzej Wajda,0.0,7.7
452. Отважные капитаны,7.9,1937.0,1h,11000,Victor Fleming,81.0,7.9
453. Печаль и жалость,8.1,1969.0,4h,2000,Marcel Ophüls,0.0,8.1
454. Фальшивка,7.7,1973.0,1h,19000,Orson Welles,87.0,7.7
455. Стрелок,7.7,1950.0,1h,13000,Henry King,94.0,7.7
456. Янки Дудл Денди,7.6,1942.0,2h,17000,Michael Curtiz,89.0,7.599999999999999
457. Король комедии,7.8,1982.0,1h,122000,Martin Scorsese,73.0,7.8
458. Бирманская арфа,8.0,1956.0,1h,6000,Kon Ichikawa,0.0,8.0
459. Путешествие в Италию,7.3,1954.0,1h,13000,Roberto Rossellini,100.0,7.299999999999999
460. Банда аутсайдеров,7.6,1964.0,1h,27000,Jean-Luc Godard,93.0,7.599999999999999
461. Молчание,7.7,1963.0,1h,22000,Ingmar Bergman,0.0,7.7
462. Чyдо на 34-й улице,7.9,1947.0,1h,55000,George Seaton,88.0,7.9
463. Затмение,7.7,1962.0,2h,23000,Michelangelo Antonioni,0.0,7.7
464. Сатанинское танго,8.2,1994.0,7h,13000,Béla Tarr,0.0,8.2
465. Поселенцы,8.0,1972.0,3h,4000,Jan Troell,0.0,8.0
466. Голдфингер,7.7,1964.0,1h,205000,Guy Hamilton,87.0,7.7
467. Змеиная яма,7.6,1948.0,1h,6000,Anatole Litvak,76.0,7.599999999999999
468. Изюминка на солнце,8.0,1961.0,2h,9000,Daniel Petrie,87.0,8.0
469. Малхолланд Драйв,7.9,2001.0,2h,390000,David Lynch,87.0,7.9
470. Танцующий с волками,8.0,1990.0,3h,296000,Kevin Costner,72.0,8.0
471. Законы улицы,8.2,1984.0,1h,1000,Martin Bell,0.0,8.2
472. Рагглз из Ред-Геп,7.6,1935.0,1h,6000,Leo McCarey,0.0,7.599999999999999
"473. Слова, написанные на ветру",7.3,1956.0,1h,14000,Douglas Sirk,86.0,7.299999999999999
474. Цвет граната,7.6,1969.0,1h,14000,Sergei Parajanov,0.0,7.599999999999999
475. Маркета Лазарова,7.9,1967.0,2h,2000,Frantisek Vlácil,0.0,7.9
476. Гранд Отель,7.3,1932.0,1h,21000,Edmund Goulding,79.0,7.299999999999999
477. Этот смутный объект желания,7.8,1977.0,1h,25000,Luis Buñuel,84.0,7.8
478. Плавучие травы,7.9,1959.0,1h,2000,Yasujirô Ozu,0.0,7.9
479. Жертва,7.7,1961.0,1h,5000,Basil Dearden,85.0,7.7
480. Лицо со шрамом,8.3,1983.0,2h,934000,Brian De Palma,65.0,8.3
481. Тутси,7.4,1982.0,1h,116000,Sydney Pollack,88.0,7.3999999999999995
482. Не смотри назад,7.9,1967.0,1h,10000,D.A. Pennebaker,84.0,7.9
483. Обход,7.6,1971.0,1h,28000,Nicolas Roeg,85.0,7.599999999999999
"484. Германия, год нулевой",7.8,1948.0,1h,14000,Roberto Rossellini,0.0,7.8
485. Чужое лицо,7.9,1966.0,2h,11000,Hiroshi Teshigahara,0.0,7.9
486. Продюсеры,7.5,1967.0,1h,61000,Mel Brooks,96.0,7.499999999999999
487. Семь,8.6,1995.0,2h,8000000,David Fincher,65.0,8.600000000000001
488. Лицо в толпе,8.2,1957.0,2h,18000,Elia Kazan,72.0,8.2
489. Без солнца,7.8,1983.0,1h,12000,Chris Marker,0.0,7.8
490. Когда женщина поднимается по лестнице,8.1,1960.0,1h,9000,Mikio Naruse,0.0,8.1
491. Двойная жизнь Вероники,7.7,1991.0,1h,54000,Krzysztof Kieslowski,86.0,7.7
492. Сядь за руль моей машины,7.5,2021.0,2h,69000,Ryûsuke Hamaguchi,91.0,7.499999999999999
493. Наше гостеприимство,7.8,1923.0,1h,13000,John G. Blystone,0.0,7.8
494. Приключения принца Ахмеда,7.8,1926.0,1h,7000,Lotte Reiniger,0.0,7.8
495. Вкус вишни,7.7,1997.0,1h,38000,Abbas Kiarostami,80.0,7.7
496. Жертвоприношение,7.9,1986.0,2h,32000,Andrei Tarkovsky,0.0,7.9
497. Пожнешь бурю,8.1,1960.0,2h,33000,Stanley Kramer,75.0,8.1
498. Лабиринт Фавна,8.2,2006.0,1h,711000,Guillermo del Toro,98.0,8.2
499. Мушетт,7.7,1967.0,1h,13000,Robert Bresson,0.0,7.7
500. Повесть Тикамацу,8.0,1954.0,1h,5000,Kenji Mizoguchi,0.0,8.0
501. Возница,8.0,1921.0,1h,14000,Victor Sjöström,0.0,8.0
502. Одиссея капитана Блада,7.7,1935.0,1h,16000,Michael Curtiz,89.0,7.7
503. Отважный самурай,8.0,1962.0,1h,42000,Akira Kurosawa,0.0,8.0
504. Техасская резня бензопилой,7.4,1974.0,1h,189000,Tobe Hooper,91.0,7.3999999999999995
505. Пять легких пьес,7.4,1970.0,1h,42000,Bob Rafelson,85.0,7.3999999999999995
506. Обгон,8.2,1962.0,1h,13000,Dino Risi,0.0,8.2
507. Выбывший из игры,7.6,1947.0,1h,12000,Carol Reed,87.0,7.599999999999999
508. Голова-ластик,7.3,1977.0,1h,130000,David Lynch,87.0,7.299999999999999
