Title,Rating,Year,Duration,Votes,Director,MetaScore,Predicted Rating
756. Беглец,7.8,1993.0,2h,325000,Andrew Davis,87.0,7.8
757. Навигатор,7.5,1924.0,59m,11000,Donald Crisp,0.0,7.499999999999999
758. Звёздные войны: Эпизод 6 - Возвращение Джедая,8.3,1983.0,2h,1000000,Richard Marquand,58.0,8.3
759. Лифт на эшафот,7.9,1958.0,1h,29000,Louis Malle,94.0,7.9
760. Вердикт,7.7,1982.0,2h,47000,Sidney Lumet,77.0,7.7
761. Лица,7.4,1968.0,2h,12000,John Cassavetes,88.0,7.3999999999999995
762. Пласидо,7.8,1961.0,1h,8000,Luis García Berlanga,0.0,7.8
763. Седьмое небо,7.6,1927.0,1h,3000,Frank Borzage,0.0,7.599999999999999
764. Тэсс,7.3,1979.0,3h,19000,Roman Polanski,82.0,7.299999999999999
765. Земля,7.2,1930.0,1h,5000,Aleksandr Dovzhenko,0.0,7.199999999999999
766. Дэвид Копперфилд,7.3,1935.0,2h,8000,George Cukor,91.0,7.299999999999999
767. Рассвет мертвецов,7.8,1978.0,2h,130000,George A. Romero,71.0,7.8
768. Быть Джоном Малковичем,7.7,1999.0,1h,357000,Spike Jonze,90.0,7.7
769. И твою маму тоже,7.7,2001.0,1h,130000,Alfonso Cuarón,89.0,7.7
770. С течением времени,7.7,1976.0,2h,6000,Wim Wenders,0.0,7.7
"771. Мне отмщение, и аз воздам",7.7,1979.0,2h,4000,Shôhei Imamura,85.0,7.7
772. Жизнь Эмиля Золя,7.2,1937.0,1h,2000,William Dieterle,0.0,7.199999999999999
773. Грязный Гарри,7.7,1971.0,1h,171000,Don Siegel,87.0,7.7
774. Гертруда,7.3,1964.0,1h,9000,Carl Theodor Dreyer,0.0,7.299999999999999
775. Усталая смерть,7.6,1921.0,1h,8000,Fritz Lang,0.0,7.599999999999999
776. Вести из дома,7.3,1976.0,1h,3000,Chantal Akerman,0.0,7.299999999999999
777. День начинается,7.7,1939.0,1h,4000,Marcel Carné,0.0,7.7
778. Хад,7.8,1963.0,1h,24000,Martin Ritt,62.0,7.8
779. Коммивояжер,7.6,1969.0,1h,8000,Albert Maysles,80.0,7.599999999999999
780. Симеон столпник,7.8,1965.0,45m,11000,Luis Buñuel,0.0,7.8
781. Любовь и смерть,7.6,1975.0,1h,42000,Woody Allen,89.0,7.599999999999999
782. Обнаженная,7.7,1993.0,2h,45000,Mike Leigh,85.0,7.7
783. Поле битвы,7.4,1949.0,1h,8000,William A. Wellman,0.0,7.3999999999999995
784. Пелле-завоеватель,7.7,1987.0,2h,12000,Bille August,0.0,7.7
785. Призрак оперы,7.5,1925.0,1h,20000,Rupert Julian,0.0,7.499999999999999
786. Никто не узнает,8.0,2004.0,2h,32000,Hirokazu Koreeda,88.0,8.0
787. Рабочий класс идет в рай,7.6,1971.0,2h,2000,Elio Petri,0.0,7.599999999999999
788. Спасательная шлюпка,7.6,1944.0,1h,32000,Alfred Hitchcock,78.0,7.599999999999999
"789. Весна, лето, осень, зима... и снова весна",8.0,2003.0,1h,88000,Kim Ki-duk,85.0,8.0
790. Легенда о Нараяме,7.8,1983.0,2h,3000,Shôhei Imamura,0.0,7.8
"791. Я знаю, куда я иду!",7.4,1945.0,1h,10000,Michael Powell,86.0,7.3999999999999995
792. Военно-полевой госпиталь М.Э.Ш.,7.4,1970.0,1h,79000,Robert Altman,80.0,7.3999999999999995
793. Товарищи,8.0,1963.0,2h,4000,Mario Monicelli,0.0,8.0
794. Холм,7.8,1965.0,2h,16000,Sidney Lumet,81.0,7.8
795. Слава герою-победителю,7.6,1944.0,1h,2000,Preston Sturges,0.0,7.599999999999999
796. Врата ада,7.1,1953.0,1h,4000,Teinosuke Kinugasa,0.0,7.099999999999999
797. Миллионер из трущоб,8.0,2008.0,2h,884000,Danny Boyle,84.0,8.0
798. Пароходный Билл,7.8,1928.0,1h,16000,Charles Reisner,0.0,7.8
"799. Рукопись, найденная в Сарагосе",7.8,1965.0,3h,6000,Wojciech Has,0.0,7.8
800. Хорошая работа,7.3,1999.0,1h,16000,Claire Denis,91.0,7.299999999999999
801. Небеса могут подождать,7.3,1943.0,1h,13000,Ernst Lubitsch,0.0,7.299999999999999
802. Смертельный шторм,7.7,1940.0,1h,2000,Frank Borzage,0.0,7.7
803. Дорогой Закари: письмо сыну о его отце,8.5,2008.0,1h,42000,Kurt Kuenne,82.0,8.5
804. Оклеветанная,7.8,1936.0,1h,1000,Jack Conway,0.0,7.8
805. Неотправленное письмо,7.8,1960.0,1h,4000,Mikhail Kalatozov,0.0,7.8
806. Аладдин,8.0,1992.0,1h,477000,Ron Clements,86.0,8.0
807. Мама Рома,7.8,1962.0,1h,11000,Pier Paolo Pasolini,0.0,7.8
808. Маленькие женщины,7.2,1933.0,1h,8000,George Cukor,92.0,7.199999999999999
809. Хроника одного лета,7.5,1961.0,1h,7000,Edgar Morin,0.0,7.499999999999999
810. Злые и красивые,7.8,1952.0,1h,17000,Vincente Minnelli,86.0,7.8
811. Целуй меня насмерть,7.5,1955.0,1h,22000,Robert Aldrich,0.0,7.499999999999999
812. Мышьяк и старые кружева,7.9,1944.0,1h,76000,Frank Capra,0.0,7.9
813. Люби меня сегодня,7.5,1932.0,1h,7000,Rouben Mamoulian,0.0,7.499999999999999
814. Александр Невский,7.5,1938.0,1h,12000,Sergei Eisenstein,0.0,7.499999999999999
815. Артист,7.9,2011.0,1h,250000,Michel Hazanavicius,89.0,7.9
816. Кроваво-красное,7.5,1975.0,2h,44000,Dario Argento,89.0,7.499999999999999
817. Конвейер,7.5,1978.0,1h,11000,Paul Schrader,77.0,7.499999999999999
818. Оливер Твист,7.8,1948.0,1h,14000,David Lean,84.0,7.8
"819. Америка, Америка",7.7,1963.0,2h,1000,Elia Kazan,72.0,7.7
820. Завтрак у Тиффани,7.6,1961.0,1h,195000,Blake Edwards,77.0,7.599999999999999
821. Паника,7.9,1946.0,1h,7000,Julien Duvivier,0.0,7.9
822. Кентерберийская история,7.3,1944.0,2h,6000,Michael Powell,85.0,7.299999999999999
823. Москва слезам не верит,8.0,1980.0,2h,15000,Vladimir Menshov,0.0,8.0
824. Ведьмы,7.6,1922.0,1h,17000,Benjamin Christensen,0.0,7.599999999999999
825. После жизни,7.6,1998.0,1h,14000,Hirokazu Koreeda,91.0,7.599999999999999
826. Касание Дзен,7.5,1971.0,3h,5000,King Hu,0.0,7.499999999999999
827. Неизвестный,7.7,1927.0,1h,4000,Tod Browning,0.0,7.7
828. Мафиозо,7.6,1962.0,1h,3000,Alberto Lattuada,88.0,7.599999999999999
829. Вся красота и кровопролитие,7.5,2022.0,1h,3000,Laura Poitras,91.0,7.499999999999999
830. Белая лента,7.8,2009.0,2h,78000,Michael Haneke,84.0,7.8
831. Боб - прожигатель жизни,7.6,1956.0,1h,14000,Jean-Pierre Melville,80.0,7.599999999999999
832. Бартон Финк,7.6,1991.0,1h,130000,Joel Coen,69.0,7.599999999999999
833. Игра навылет,7.9,1972.0,2h,51000,Joseph L. Mankiewicz,0.0,7.9
"834. Тот, кто получает пощёчины",7.8,1924.0,1h,4000,Victor Sjöström,0.0,7.8
835. В центре внимания,8.1,2015.0,2h,508000,Tom McCarthy,93.0,8.1
836. Парни что надо,7.8,1983.0,3h,66000,Philip Kaufman,91.0,7.8
837. Рома,7.7,2018.0,2h,171000,Alfonso Cuarón,96.0,7.7
838. Пожары,8.3,2010.0,2h,210000,Denis Villeneuve,80.0,8.3
839. Большие гонки,8.4,1975.0,1h,14000,Ivo Caprino,0.0,8.4
840. Жан де Флоретт,8.1,1986.0,2h,28000,Claude Berri,0.0,8.1
841. Весна в маленьком городе,7.3,1948.0,1h,4000,Mu Fei,0.0,7.299999999999999
842. Страница безумия,7.3,1926.0,1h,7000,Teinosuke Kinugasa,0.0,7.299999999999999
843. Мимино,8.1,1977.0,1h,7000,Georgiy Daneliya,0.0,8.1
844. Рассекая волны,7.8,1996.0,2h,73000,Lars von Trier,82.0,7.8
845. Улыбки летней ночи,7.7,1955.0,1h,15000,Ingmar Bergman,0.0,7.7
846. Крепкий орешек,8.2,1988.0,2h,959000,John McTiernan,72.0,8.2
847. Тоска Вероники Фосс,7.6,1982.0,1h,9000,Rainer Werner Fassbinder,0.0,7.599999999999999
848. Улица стыда,7.8,1956.0,1h,5000,Kenji Mizoguchi,0.0,7.8
849. В год тринадцати лун,7.4,1978.0,2h,9000,Rainer Werner Fassbinder,0.0,7.3999999999999995
850. Дорогая,7.0,1965.0,2h,8000,John Schlesinger,0.0,6.999999999999998
851. Серпико,7.7,1973.0,2h,137000,Sidney Lumet,83.0,7.7
852. Табу,7.4,1931.0,1h,5000,F.W. Murnau,0.0,7.3999999999999995
853. Без надежды,7.5,1966.0,1h,4000,Miklós Jancsó,0.0,7.499999999999999
854. Багдадский вор,7.7,1924.0,2h,1000,Raoul Walsh,0.0,7.7
855. Джонни Белинда,7.7,1948.0,1h,4000,Jean Negulesco,0.0,7.7
856. Призрак свободы,7.8,1974.0,1h,17000,Luis Buñuel,0.0,7.8
857. Одержимая,7.3,1981.0,2h,45000,Andrzej Zulawski,75.0,7.299999999999999
858. Сука любовь,8.0,2000.0,2h,256000,Alejandro G. Iñárritu,83.0,8.0
859. Мои друзья,7.9,1975.0,2h,1000,Mario Monicelli,0.0,7.9
860. Гибель Титаника,7.9,1958.0,2h,18000,Roy Ward Baker,0.0,7.9
861. Девушки в униформе,7.6,1931.0,1h,9000,Leontine Sagan,0.0,7.599999999999999
862. Горькие слезы Петры Фон Кант,7.5,1972.0,2h,11000,Rainer Werner Fassbinder,73.0,7.499999999999999
863. День Шакала,7.8,1973.0,2h,46000,Fred Zinnemann,80.0,7.8
864. Земля кочевников,7.3,2020.0,1h,187000,Chloé Zhao,87.0,7.299999999999999
865. Воспоминания об отсталости,7.6,1968.0,1h,9000,Tomás Gutiérrez Alea,0.0,7.599999999999999
866. Пейзаж в тумане,7.9,1988.0,2h,9000,Theodoros Angelopoulos,0.0,7.9
867. Грек Зорба,7.6,1964.0,2h,24000,Michael Cacoyannis,0.0,7.599999999999999
868. Разум и чувства,7.7,1995.0,2h,128000,Ang Lee,84.0,7.7
869. ВАЛЛ·И,8.4,2008.0,1h,2000000,Andrew Stanton,95.0,8.4
870. Время жить и время умирать,7.5,1985.0,2h,6000,Hsiao-Hsien Hou,0.0,7.499999999999999
871. Тайбэйская история,7.6,1985.0,1h,1000,Edward Yang,0.0,7.599999999999999
872. Трудности перевода,7.7,2003.0,1h,499000,Sofia Coppola,91.0,7.7
873. Товарищи: Почти история любви,8.1,1996.0,1h,8000,Peter Ho-Sun Chan,0.0,8.1
874. Операция «Ы» и другие приключения Шурика,8.4,1965.0,1h,15000,Leonid Gaidai,0.0,8.4
875. Игры разума,8.2,2001.0,2h,1000000,Ron Howard,72.0,8.2
876. Одинокий,7.7,1928.0,1h,7000,Pál Fejös,0.0,7.7
877. Большой Лебовски,8.1,1998.0,1h,872000,Joel Coen,71.0,8.1
878. Игрок,7.5,1992.0,2h,67000,Robert Altman,86.0,7.499999999999999
879. Пешком-пешком,7.9,2008.0,1h,19000,Hirokazu Koreeda,89.0,7.9
880. Вселяющий страх,7.7,1986.0,1h,7000,Edward Yang,0.0,7.7
881. Шоу Трумана,8.2,1998.0,1h,2000000,Peter Weir,90.0,8.2
882. Мисима: Жизнь в четырёх главах,7.9,1985.0,2h,14000,Paul Schrader,84.0,7.9
883. Сержант Йорк,7.7,1941.0,2h,20000,Howard Hawks,0.0,7.7
884. Люди-кошки,7.2,1942.0,1h,27000,Jacques Tourneur,85.0,7.199999999999999
885. Юг,7.8,1983.0,1h,5000,Víctor Erice,0.0,7.8
886. Незамужняя женщина,7.2,1978.0,2h,2000,Paul Mazursky,79.0,7.199999999999999
887. Безумцы Титиката,7.7,1967.0,1h,2000,Frederick Wiseman,0.0,7.7
888. Казино,8.2,1995.0,2h,574000,Martin Scorsese,73.0,8.2
889. Дестри снова в седле,7.6,1939.0,1h,13000,George Marshall,81.0,7.599999999999999
890. Амели,8.3,2001.0,2h,804000,Jean-Pierre Jeunet,70.0,8.3
891. Уитнэйл и Я,7.5,1987.0,1h,49000,Bruce Robinson,84.0,7.499999999999999
892. Время цыган,8.1,1988.0,2h,33000,Emir Kusturica,0.0,8.1
893. Назарин,7.7,1959.0,1h,5000,Luis Buñuel,0.0,7.7
894. Лола,7.5,1961.0,1h,8000,Jacques Demy,73.0,7.499999999999999
895. Мой американский дядюшка,7.6,1980.0,2h,7000,Alain Resnais,0.0,7.599999999999999
896. На ярком солнце,7.7,1960.0,1h,21000,René Clément,0.0,7.7
897. Центральный вокзал,8.0,1998.0,1h,43000,Walter Salles,80.0,8.0
898. Для Самы,8.5,2019.0,1h,13000,Waad Al-Kateab,89.0,8.5
"899. Далекие голоса, застывшие жизни",7.4,1988.0,1h,3000,Terence Davies,86.0,7.3999999999999995
900. Служебный роман,8.2,1977.0,2h,11000,Eldar Ryazanov,0.0,8.2
901. Двухполосное шоссе,7.2,1971.0,1h,14000,Monte Hellman,89.0,7.199999999999999
"902. Угадай, кто придет к обеду?",7.8,1967.0,1h,50000,Stanley Kramer,63.0,7.8
903. Зелёная миля,8.6,1999.0,3h,4000000,Frank Darabont,61.0,8.6
904. Старая мельница,7.8,1937.0,9m,5000,Graham Heid,0.0,7.8
905. Джентльмены удачи,8.3,1971.0,1h,13000,Aleksandr Seryy,0.0,8.3
906. День сурка,8.0,1993.0,1h,696000,Harold Ramis,72.0,8.0
907. Веселый развод,7.4,1934.0,1h,8000,Mark Sandrich,80.0,7.3999999999999995
908. Лунный свет,7.4,2016.0,1h,336000,Barry Jenkins,99.0,7.3999999999999995
909. Набережная Орфевр,7.7,1947.0,1h,5000,Henri-Georges Clouzot,89.0,7.7
910. Изысканный замок,8.7,1993.0,2h,13000,Fazil,0.0,8.700000000000001
"911. Больше, чем жизнь",7.4,1956.0,1h,3000,Nicholas Ray,0.0,7.3999999999999995
912. Европа 51,7.4,1952.0,1h,9000,Roberto Rossellini,0.0,7.3999999999999995
913. Маленький беглец,7.5,1953.0,1h,1000,Ray Ashley,91.0,7.499999999999999
914. Бремя мечты,7.9,1982.0,1h,3000,Les Blank,77.0,7.9
915. Рожденная вчера,7.5,1950.0,1h,13000,George Cukor,0.0,7.499999999999999
916. Жестокая игра,7.2,1992.0,1h,61000,Neil Jordan,90.0,7.199999999999999
917. Кулачное право свободы,7.6,1975.0,2h,7000,Rainer Werner Fassbinder,0.0,7.599999999999999
918. Смертная казнь через повешение,7.5,1968.0,1h,4000,Nagisa Ôshima,0.0,7.499999999999999
919. Акира,8.0,1988.0,2h,209000,Katsuhiro Ôtomo,68.0,8.0
920. На Западном фронте без перемен,7.8,2022.0,2h,256000,Edward Berger,76.0,7.8
921. Падение дома Ашеров,7.3,1928.0,1h,6000,Jean Epstein,0.0,7.299999999999999
922. Наслаждение,7.6,1952.0,1h,5000,Max Ophüls,0.0,7.599999999999999
923. Комната с видом,7.2,1985.0,1h,49000,James Ivory,83.0,7.199999999999999
924. Квайдан: Повествование о загадочном и ужасном,7.9,1964.0,3h,21000,Masaki Kobayashi,0.0,7.9
925. Сердца и мысли,8.2,1974.0,1h,2000,Peter Davis,68.0,8.2
926. Потерянный горизонт,7.6,1937.0,2h,15000,Frank Capra,0.0,7.599999999999999
927. Принесите мне голову Альфредо Гарсия,7.4,1974.0,1h,22000,Sam Peckinpah,80.0,7.3999999999999995
928. Бездомный пес,7.8,1949.0,2h,19000,Akira Kurosawa,0.0,7.8
929. Скачи по высокогорью,7.4,1962.0,1h,15000,Sam Peckinpah,92.0,7.3999999999999995
930. Жижи,6.6,1958.0,1h,25000,Vincente Minnelli,82.0,6.599999999999998
931. El-Kit Kat,8.3,1991.0,2h,8000,Daoud Abdel Sayed,0.0,8.3
932. Сука,7.5,1931.0,1h,9000,Jean Renoir,0.0,7.499999999999999
933. Парк наказаний,7.7,1971.0,1h,8000,Peter Watkins,0.0,7.7
934. Жизнь прекрасна,8.6,1997.0,1h,755000,Roberto Benigni,58.0,8.6
935. Земля обетованная,7.8,1975.0,2h,1000,Andrzej Wajda,0.0,7.8
936. Призрак и миссис Мьюр,7.8,1947.0,1h,21000,Joseph L. Mankiewicz,0.0,7.8
937. Корова,7.9,1969.0,1h,1000,Dariush Mehrjui,0.0,7.9
938. Гарольд и Мод,7.9,1971.0,1h,83000,Hal Ashby,62.0,7.9
939. Гигант,7.6,1956.0,3h,43000,George Stevens,84.0,7.599999999999999
940. Жирный город,7.3,1972.0,1h,11000,John Huston,89.0,7.299999999999999
941. Долгая Страстная пятница,7.6,1980.0,1h,26000,John Mackenzie,82.0,7.599999999999999
942. Нанук с Севера,7.6,1922.0,1h,14000,Robert J. Flaherty,0.0,7.599999999999999
943. Звезды и солдаты,7.5,1967.0,1h,4000,Miklós Jancsó,0.0,7.499999999999999
944. Я шагаю по Москве,7.7,1964.0,1h,4000,Georgiy Daneliya,0.0,7.7
945. Любовники с Нового моста,7.6,1991.0,2h,16000,Leos Carax,0.0,7.599999999999999
946. Французский канкан,7.3,1955.0,1h,6000,Jean Renoir,0.0,7.299999999999999
947. Доктор Джекилл и мистер Хайд,7.6,1931.0,1h,16000,Rouben Mamoulian,0.0,7.599999999999999
948. За пригоршню долларов,7.9,1964.0,1h,237000,Sergio Leone,65.0,7.9
949. Ночь и город,7.9,1950.0,1h,16000,Jules Dassin,0.0,7.9
950. Бекет,7.8,1964.0,2h,16000,Peter Glenville,68.0,7.8
951. К востоку от рая,7.8,1955.0,1h,49000,Elia Kazan,72.0,7.8
952. 42-я yлица,7.3,1933.0,1h,13000,Lloyd Bacon,83.0,7.299999999999999
953. Ребята с улицы,7.8,1991.0,1h,158000,John Singleton,76.0,7.8
954. Уроки темноты,8.0,1992.0,54m,9000,Werner Herzog,0.0,8.0
955. Дни и ночи в лесу,8.1,1970.0,1h,3000,Satyajit Ray,0.0,8.1
956. Зулусы,7.7,1964.0,2h,43000,Cy Endfield,77.0,7.7
957. Бен-Гур,7.8,1925.0,2h,8000,Fred Niblo,0.0,7.8
958. Одержимость,7.6,1943.0,2h,4000,Luchino Visconti,0.0,7.599999999999999
959. Золотой век,7.2,1930.0,1h,15000,Luis Buñuel,0.0,7.199999999999999
960. Покаяние,8.1,1984.0,2h,5000,Tengiz Abuladze,0.0,8.1
961. Мое путешествие по Италии,8.2,1999.0,4h,6000,Martin Scorsese,90.0,8.2
962. Убийцы леди,7.6,1955.0,1h,32000,Alexander Mackendrick,91.0,7.599999999999999
963. Портрет девушки в огне,8.1,2019.0,2h,113000,Céline Sciamma,95.0,8.1
964. Взгляд тишины,8.3,2014.0,1h,14000,Joshua Oppenheimer,92.0,8.3
965. Ведьмина служба доставки,7.8,1989.0,1h,170000,Hayao Miyazaki,85.0,7.8
966. Цветы лиловые полей,7.7,1985.0,2h,99000,Steven Spielberg,78.0,7.7
967. Маленькая мама,7.4,2021.0,1h,18000,Céline Sciamma,93.0,7.3999999999999995
968. Ворон,7.8,1943.0,1h,11000,Henri-Georges Clouzot,0.0,7.8
969. Дочь шахтера,7.5,1980.0,2h,21000,Michael Apted,84.0,7.499999999999999
970. Голод,7.7,1966.0,1h,4000,Henning Carlsen,0.0,7.7
971. Рождественский гимн,8.1,1951.0,1h,26000,Brian Desmond Hurst,0.0,8.1
972. Вкус зеленого чая после риса,7.7,1952.0,1h,8000,Yasujirô Ozu,0.0,7.7
973. Командир,8.5,1991.0,2h,14000,Mani Ratnam,0.0,8.5
974. Истинная грусть,8.0,1997.0,1h,100000,Satoshi Kon,67.0,8.0
975. Цельнометаллическая оболочка,8.2,1987.0,1h,802000,Stanley Kubrick,78.0,8.2
976. Барон Мюнхгаузен,7.7,1962.0,1h,1000,Karel Zeman,0.0,7.7
977. Сквозь оливы,7.7,1994.0,1h,10000,Abbas Kiarostami,0.0,7.7
978. Молочные братья,8.8,1976.0,1h,21000,Ertem Egilmez,0.0,8.800000000000002
979. Бумажные цветы,7.8,1959.0,2h,8000,Guru Dutt,0.0,7.8
"980. Вперед, путешественник",7.9,1942.0,1h,19000,Irving Rapper,70.0,7.9
981. Генерал Делла Ровере,7.7,1959.0,2h,7000,Roberto Rossellini,0.0,7.7
982. Жить,8.3,1994.0,2h,21000,Yimou Zhang,0.0,8.3
983. Простая история,8.0,1999.0,1h,99000,David Lynch,86.0,8.0
984. Второй раз,7.6,1966.0,1h,23000,John Frankenheimer,71.0,7.599999999999999
985. 36 ступеней Шаолиня,7.6,1978.0,1h,19000,Chia-Liang Liu,0.0,7.599999999999999
986. Плохой день в Блэк-Роке,7.7,1955.0,1h,25000,John Sturges,0.0,7.7
987. Поговори с ней,7.9,2002.0,1h,118000,Pedro Almodóvar,86.0,7.9
988. Солнце моё,7.6,2022.0,1h,102000,Charlotte Wells,95.0,7.599999999999999
"989. Добро пожаловать, или Посторонним вход воспрещен",7.9,1964.0,1h,6000,Elem Klimov,0.0,7.9
990. Американский друг,7.4,1977.0,2h,19000,Wim Wenders,79.0,7.3999999999999995
991. Наёмный убийца,7.7,1989.0,1h,52000,John Woo,82.0,7.7
992. Одиночество бегуна на длинную дистанцию,7.5,1962.0,1h,5000,Tony Richardson,0.0,7.499999999999999
993. Чемпион,7.2,1931.0,1h,7000,King Vidor,0.0,7.199999999999999
994. Погоня,7.1,1966.0,2h,14000,Arthur Penn,0.0,7.099999999999999
995. Тосун-паша,8.9,1976.0,1h,25000,Kartal Tibet,0.0,8.900000000000002
996. The Beatles: Желтая подводная лодка,7.4,1968.0,1h,28000,George Dunning,79.0,7.3999999999999995
997. Времена Харви Милка,8.2,1984.0,1h,7000,Rob Epstein,0.0,8.2
998. Худший человек на свете,7.7,2021.0,2h,103000,Joachim Trier,91.0,7.7
999. Человек-зверь,7.5,1938.0,1h,5000,Jean Renoir,0.0,7.499999999999999
